brand,model,price,fuel,transmission,km,year,location
Citroen, Multispace LIVE Edit.BlueHDi 74KW (100CV Live Edition,12700.0,Diésel,Manual,51846.0,2018,Baleares
BMW,X1 sDrive18d 110 kW (150 CV),29100.0,Diésel,Manual,8457.0,2019,Valencia
BMW,318 Berlina d 110 kW (150 CV),33900.0,Diésel,Manual,19.0,2020,Valencia
Honda,Civic 2015 Civic 5P Elegance 1.4 i-VTEC Man 6V Gasolina Standard,13000.0,Gasolina,Manual,58942.0,2016,Gerona
Citroen,DS5 2.0 BLUEHDI 180 Performance Line AUTO 5P,22900.0,Diésel,Automático,4158.0,2018,Gerona
Volkswagen,Tiguan 2.0 TDI SCR 85KW ADVANCE 5P,28600.0,Diésel,Manual,47121.0,2018,Gerona
Volkswagen,Passat 2.0 TDI DSG ADVANCE BMT 4P,17900.0,Diésel,Automático,72451.0,2016,Gerona
Volkswagen,Golf 1.5 TSI 110KW DSG ADVANCE 5P,24600.0,Gasolina,Automático,9010.0,2020,Gerona
Kia,Picanto 1.0 CVVT X-TECH16 ECO-DYNAMICS 5P,7000.0,Gasolina,Manual,80288.0,2017,Gerona
BMW,X1 1.5 SDRIVE18I 5P,18700.0,Gasolina,Automático,131000.0,2016,Málaga
Hyundai,i30 1.0 TGDI KLASS LE 5P,13900.0,Gasolina,Manual,52040.0,2018,Málaga
Opel,Mokka X 1.4 T 103KW EXCELLENCE 2WD S,13300.0,Gasolina,Manual,31700.0,2018,Málaga
Skoda,Fabia 1.0 MPI 55KW BUSINESS 75 5P,10195.0,Gasolina,Manual,30802.0,2018,Málaga
Hyundai,i20 1.2 MPI ESSENCE LE 5P,10290.0,Gasolina,Manual,19698.0,2019,Málaga
Renault,Kangoo 1.5 DCI 66KW EN. PROFES. COMBI M1-AF E6 4P,12100.0,Diésel,Manual,44152.0,2018,Málaga
Renault,Clio 0.9 TCE ENERGY ZEN 66KW 5P,10830.0,Diésel,Manual,46264.0,2018,Málaga
Renault,Captur 0.9 TCE ENERGY ZEN 66KW 5P,13350.0,Gasolina,Manual,29133.0,2018,Málaga
Hyundai,IONIQ 1.6 GDI HEV TECNO DCT 141 5P,20500.0,Gasolina,Automático,3000.0,2019,Barcelona
Hyundai,i10 1.2 TECNO EDITION 87 5P,11700.0,Gasolina,Manual,9279.0,2019,Barcelona
Opel,Mokka 1.6 CDTI SELECTIVE 2WD S,12990.0,Diésel,Manual,67653.0,2016,Madrid
Volkswagen,Caddy 2.0TDI Kombi 102,18300.0,Diésel,Manual,19011.0,2020,Córdoba
Nissan,X-Trail X-Trail 1.6 dCi N-Connecta 4x2 XTronic,27800.0,Diésel,Automático,16961.0,2019,Córdoba
Nissan,Qashqai Qashqai 1.5dCi N-Style 4x2 85kW,23500.0,Diésel,Manual,1.0,2021,Córdoba
Nissan,Qashqai Qashqai 1.5dCi N-Connecta 4x2 85kW,22100.0,Diésel,Manual,19802.0,2019,Córdoba
Nissan,Qashqai 1.6 DIG-T Acenta 4x2,15100.0,Gasolina,Manual,76302.0,2016,Córdoba
Nissan,Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,21500.0,Gasolina,Manual,13660.0,2019,Córdoba
Nissan,Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,21900.0,Gasolina,Manual,1.0,2019,Córdoba
Nissan,Qashqai 1.2 DIG-T Tekna 4x2 XTronic,18200.0,Gasolina,Automático,45389.0,2017,Córdoba
Nissan,NV200 e-NV200 Furgón Profesional 5p. 40kwh,29900.0,Eléctrico,Automático,1.0,2020,Córdoba
Nissan,Micra IG-T Acenta 92,14600.0,Gasolina,Manual,1.0,2021,Córdoba
Nissan,Micra IG-T Acenta 92,14600.0,Gasolina,Manual,1.0,2021,Córdoba
Nissan,Micra IG-T Acenta 100,13200.0,Gasolina,Manual,6775.0,2020,Córdoba
BMW,X3 xDrive 20dA,38900.0,Diésel,Automático,19784.0,2019,Córdoba
BMW,118 5-Puertas dA,31900.0,Diésel,Automático,4071.0,2020,Córdoba
Nissan,Navara 2.3 DCI 140KW ACENTA DOUBLE CAB 4WD 190 4P,24790.0,Diésel,Manual,52076.0,2017,Madrid
Audi,Q3 Sportback 45 TFSIe S line tiptronic,55000.0,Híbrido,Automático,1.0,2021,Córdoba
Abarth, cabrio 1.4 TURBO T-JET 595 107KW 145 2P,16900.0,Gasolina,Manual,54903.0,2018,Barcelona
Hyundai,i30 1.0 TGDI KLASS 120 5P,16400.0,Gasolina,Manual,10010.0,2020,Barcelona
Audi,A3 A3 Sportback 1.6TDI S Line Edition 116,22900.0,Diésel,Manual,24235.0,2019,Córdoba
Renault,Clio Clio Clio TCe Zen 74kW,14450.0,Gasolina,Manual,13336.0,2020,Jaén
Audi,A1 30 TFSI Adrenalin S tronic,24800.0,Gasolina,Automático,7600.0,2020,Córdoba
Hyundai,i20 1.2 MPI KLASS 84 5P,9500.0,Gasolina,Manual,12800.0,2017,Barcelona
Hyundai,Tucson 2.0 CRDI 100KW TECNO 4WD 136 5P,20000.0,Diésel,Manual,73900.0,2017,Barcelona
Hyundai,Tucson 1.7 CRDI 85KW BLUEDRIVE KLASS NAV 2WD 115 5P,15900.0,Diésel,Manual,64300.0,2017,Barcelona
Peugeot,3008 1.2 PURETECH 96KW ALLURE S&S 130 5P,19900.0,Gasolina,Manual,47500.0,2017,Barcelona
Hyundai,i10 1.0 GO! 66 5P,9900.0,Gasolina,Manual,6999.0,2019,Barcelona
Bentley, Flying Spur V8,287980.0,Gasolina,Automático,19.0,2021,Madrid
Mercedes-Benz,EQC-400 4MATIC,69900.0,Eléctrico,Automático,4800.0,2020,Sevilla
Mercedes-Benz,GLC 300 de 4MATIC,56900.0,Eléctrico,Automático,8500.0,2020,Sevilla
Mercedes-Benz,GLC 220 d 4MATIC,41900.0,Diésel,Automático,5112.0,2019,Sevilla
Bentley,Continental GT GT V8 Convertible,307900.0,Gasolina,Automático,50.0,2021,Madrid
Mercedes-Benz,GLC 200 d 4MATIC,44900.0,Diésel,Automático,6780.0,2020,Sevilla
